"Data Source","World Development Indicators",

"Last Updated Date","2022-02-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"North America","NAC","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022000","1300","","52000","901000","308000","39800","76000","1200000","1771000","1266000","957000","1740050",
"North America","NAC","Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)","TX.VAL.MRCH.R3.ZS","13.3085992625302","12.8239585333077","11.9212671958622","11.1291432904219","11.4575708213863","10.8174222182597","10.826534425118","10.0020659119828","10.1283122488653","9.64791077395328","10.0121065779073","9.69955409511786","9.82016175570591","9.60982435466331","11.545661062184","11.6330308803905","10.6735407988513","10.5959810436898","11.0360892683186","11.3197065298539","12.9035316563794","13.1315578525349","10.9543815076951","8.51487382786907","8.84682386292574","9.43074089631414","9.40854069779088","9.32389920133811","9.45607536355183","9.38035600073463","9.63092107435967","10.8153659121724","12.2659038140432","12.1370752127137","13.0158284719355","11.7232098810318","12.5153840511702","14.1445667502351","15.1075006899515","14.6287101663283","15.3639880743931","15.5108463951458","15.172618921701","14.3682850974674","14.6093918011047","14.4823321750959","14.9026640223473","14.5845120888949","15.4141659538868","16.206231684187","16.9995672046563","17.7155341285612","18.4620179550455","18.626071423091","18.796144119143","18.9945637357317","18.8017578974587","18.8604292535969","19.1208535088166","18.7424919867265","",
"North America","NAC","Medium and high-tech exports (% manufactured exports)","TX.MNF.TECH.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports)","TM.VAL.MRCH.OR.ZS","26.4440979384859","25.383332509204","24.6211228409688","24.3817974575332","23.7922584516903","21.1765255147299","19.8559096514571","18.4169578037117","16.9188559169065","15.5943827563684","15.7502056162613","14.9317528332297","14.6959818210965","16.3120177515872","23.27659370071","23.4344694011015","24.2579966741243","25.7407776055236","23.9034413806952","25.8738155724805","26.6651327437991","23.9839522727706","22.454561778482","21.7728866365754","19.8876021549883","18.3920335149229","16.035684538562","16.9367411805081","16.9440494422934","18.9751086920659","20.4486105517004","20.7391846699102","22.4005384134629","23.5976818247459","24.6472628637516","26.0332308597446","27.6606629541805","28.8091731824529","29.3631058692331","30.0193704259964","31.8735631371839","32.6279036297945","34.3948006601504","36.032795314114","38.0285906973752","40.0776568108108","42.0007196159158","42.6889007130757","43.9548676333878","45.6018339169965","46.9957318993708","46.5871832334236","46.0485816463988","45.5855890692436","45.2107165282537","46.2876450191265","46.7928323603328","47.5789036025215","47.3873342374637","45.7698002164219","",
"North America","NAC","Tariff rate, applied, simple mean, primary products (%)","TM.TAX.TCOM.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Tariff rate, applied, simple mean, manufactured products (%)","TM.TAX.MANF.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"North America","NAC","Unmet need for contraception (% of married women ages 15-49)","SP.UWT.TFRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","6.3","","","","","","","","","","8","","","","","","","7.2","","","",
"North America","NAC","Population, female","SP.POP.TOTL.FE.IN","100011609","101757087","103404391","104986072","106553609","108012448","109416597","110778416","112049089","113276333","114698057","116387831","117679596","118859581","120034185","121324844","122595269","123940424","125343977","126798974","128114609","129430932","130696296","131888751","133032716","134223971","135504277","136817349","138160722","139616680","141257633","143116729","145033205","146855179","148569082","150247625","151913086","153648002","155327490","157001293","158663618","160192946","161650783","162997017","164464473","165949320","167532001","169111332","170719760","172243085","173694200","174963503","176264967","177503656","178811262","180095091","181448935","182682461","183796416","184806690","185591988",
"North America","NAC","Population ages 65 and above, total","SP.POP.65UP.TO","17848241","18290020","18701770","19101878","19509027","19907598","20383571","20861324","21335758","21810178","22320078","22961685","23510121","24039032","24578169","25143591","25779640","26440785","27138947","27867790","28570658","29196694","29781797","30345701","30914859","31514745","32141006","32761999","33378361","33998601","34637803","35256775","35844952","36370337","36824519","37220521","37549034","37856281","38125500","38385671","38656831","39022080","39357538","39688816","40108579","40612742","41263931","41988341","42833210","43815804","44969079","46248079","47705364","49281533","50962925","52697055","54511390","56286909","58052526","59855434","61676866",
"North America","NAC","Population ages 40-44, female (% of female population)","SP.POP.4044.FE.5Y","6.38050550303396","6.36945314888928","6.38401904763404","6.40397576609859","6.4021193886554","6.36429618701698","6.29769648872571","6.20369036432156","6.08703435709808","5.9562944554572","5.81845428290403","5.66979574641031","5.51301323543931","5.36251856525758","5.23487413681976","5.13884538691093","5.06752630741207","5.03099499068392","5.03205288295199","5.0686803736607","5.13563915841471","5.22296360788023","5.34102090960593","5.49230907915595","5.67549857148895","5.88224992035231","6.09048973054729","6.3301720370102","6.59044488358058","6.84282307672192","7.05990399141405","7.19594399733434","7.29153371946489","7.36975003283397","7.45623008939735","7.55838257875767","7.65004766662018","7.74041725701678","7.8187879733858","7.86857427390109","7.88153474874798","7.88019241337664","7.84758377465408","7.78484542851445","7.69245389505822","7.57147144714557","7.40537111087949","7.2128224620778","7.0106243630983","6.82241728249189","6.66406845265517","6.53079791031423","6.43256425339384","6.36141667454255","6.30369972259816","6.2511239976698","6.20641029154633","6.16627114842076","6.13573230008055","6.12253745334865","6.13013908820928",
